"crsCode","deptId","crsName","descr"
"crsCode21701","deptId643847","crsName771714","descr103194"
"crsCode329900","deptId226779","crsName246035","descr975630"
"crsCode759379","deptId870259","crsName609112","descr305295"
"crsCode637723","deptId894597","crsName417546","descr433440"
"crsCode582766","deptId990354","crsName476045","descr724176"
"crsCode318221","deptId169996","crsName271957","descr199088"
"crsCode392068","deptId138978","crsName382757","descr879023"
"crsCode310847","deptId960425","crsName399539","descr747732"
"crsCode663671","deptId277480","crsName715496","descr63318"
"crsCode994501","deptId712704","crsName303747","descr806043"
"crsCode112343","deptId734006","crsName676253","descr94091"
"crsCode858496","deptId314143","crsName835847","descr474257"
"crsCode532009","deptId131687","crsName577871","descr649134"
"crsCode642789","deptId529725","crsName664994","descr402617"
"crsCode779747","deptId398879","crsName587723","descr708151"
"crsCode97852","deptId812669","crsName656794","descr840659"
"crsCode494829","deptId828748","crsName394783","descr452538"
"crsCode167774","deptId389994","crsName595030","descr207253"
"crsCode414240","deptId795753","crsName962397","descr230692"
"crsCode874806","deptId703035","crsName542815","descr826164"
"crsCode533130","deptId755896","crsName755733","descr148925"
"crsCode323009","deptId745550","crsName71971","descr481178"
"crsCode689384","deptId359813","crsName643486","descr868773"
"crsCode113421","deptId609965","crsName933805","descr922798"
"crsCode239915","deptId717287","crsName572173","descr298712"
"crsCode598333","deptId249870","crsName251054","descr941969"
"crsCode332147","deptId269952","crsName325563","descr265068"
"crsCode887170","deptId39436","crsName378807","descr258269"
"crsCode907350","deptId95994","crsName710530","descr89936"
"crsCode313443","deptId81905","crsName964092","descr878630"
"crsCode102809","deptId424969","crsName710144","descr554765"
"crsCode618230","deptId353710","crsName303569","descr466746"
"crsCode839285","deptId44013","crsName296659","descr143558"
"crsCode342372","deptId208606","crsName276656","descr342370"
"crsCode925139","deptId75310","crsName468699","descr451961"
"crsCode43048","deptId756872","crsName53169","descr760929"
"crsCode58256","deptId840864","crsName214139","descr668796"
"crsCode208592","deptId877084","crsName330256","descr945649"
"crsCode680249","deptId453983","crsName487320","descr993667"
"crsCode923130","deptId981299","crsName603883","descr104523"
"crsCode28815","deptId13969","crsName58967","descr472598"
"crsCode168280","deptId439952","crsName462657","descr829533"
"crsCode74244","deptId791593","crsName509283","descr975645"
"crsCode684844","deptId381027","crsName26995","descr294803"
"crsCode282364","deptId619551","crsName396644","descr525334"
"crsCode828684","deptId644930","crsName477317","descr786320"
"crsCode220429","deptId873274","crsName555080","descr992154"
"crsCode970654","deptId700783","crsName749342","descr145267"
"crsCode332926","deptId920968","crsName744253","descr139357"
"crsCode210012","deptId907031","crsName574915","descr551893"
"crsCode88011","deptId420898","crsName461620","descr444333"
"crsCode216721","deptId255887","crsName493599","descr189063"
"crsCode190751","deptId925163","crsName414432","descr655280"
"crsCode925146","deptId279639","crsName879870","descr702230"
"crsCode298007","deptId363663","crsName498484","descr909480"
"crsCode857190","deptId671320","crsName979277","descr31241"
"crsCode735813","deptId828294","crsName934696","descr172784"
"crsCode643766","deptId351911","crsName882076","descr557535"
"crsCode643755","deptId924176","crsName406388","descr330621"
"crsCode233949","deptId904833","crsName845723","descr381522"
"crsCode836411","deptId49783","crsName790035","descr773343"
"crsCode35008","deptId236303","crsName435871","descr302936"
"crsCode493149","deptId841298","crsName975809","descr873023"
"crsCode619414","deptId902049","crsName848862","descr637470"
"crsCode380265","deptId811198","crsName172989","descr578913"
"crsCode737320","deptId909812","crsName992750","descr438349"
"crsCode839016","deptId111269","crsName89223","descr230625"
